#TYPE System.Management.Automation.PSCustomObject
"Time","Type","Message"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9657"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso317733"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9657"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso311079"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9656"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso318248"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9663"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso314020"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9656"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso318327"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9664"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso312748"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso306102"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso305421"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9653"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso311391"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9654"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso311521"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9658"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso317314"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso311945"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9654"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso313213"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9656"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso311288"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9644"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso311088"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso313518"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9664"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso311585"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9654"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso311520"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9656"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso311287"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9644"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso317610"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9666"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso315494"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9644"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso315681"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9654"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso315111"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9667"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso317400"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9656"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso313199"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9668"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso315110"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9669"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso308283"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso287631"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9663"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso312386"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso311386"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9654"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso319897"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9670"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso315197"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9670"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso313597"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9671"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso314746"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso309599"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9656"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso312539"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9672"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso315819"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9658"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso314625"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9673"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso315730"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9657"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso313022"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9657"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502518"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9635"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502215"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9635"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500147"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9674"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500116"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9644"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500164"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9645"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9635"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500119"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500204"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9672"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9661"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500175"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9670"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500173"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9653"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500143"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9667"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500112"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9645"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9675"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500128"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9645"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9661"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500139"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9638"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9676"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500137"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9668"
